1,2-dichloroethane degradation	3.8.1.3 3.8.1.5 1.1.2.7 1.2.1.4
superpathway of fatty acid biosynthesis II (plant)	2.3.1.41 6.2.1.3 3.1.2.14 6.2.1.3 3.1.2.14 1.14.19.2 1.3.1.9 2.3.1.86 4.2.1.59 2.3.1.86 1.1.1.100 1.3.1.9 6.2.1.3 3.1.2.21 6.2.1.3 3.1.2.14 1.3.1.9 2.3.1.86 2.3.1.85 4.2.1.59 2.3.1.86 2.3.1.85 1.1.1.100 2.3.1.179 2.3.1.41 1.3.1.9 2.3.1.86 2.3.1.85 4.2.1.59 2.3.1.86 2.3.1.85 1.1.1.100 2.3.1.179 2.3.1.41 2.3.1.85 2.3.1.86 1.3.1.9 2.3.1.86 2.3.1.85 4.2.1.59 2.3.1.86 2.3.1.85 1.1.1.100 2.3.1.179 2.3.1.41 1.3.1.9 2.3.1.86 2.3.1.85 4.2.1.59 2.3.1.86 2.3.1.85 1.1.1.100 2.3.1.179 2.3.1.41 1.3.1.9 2.3.1.86 2.3.1.85 4.2.1.59 2.3.1.86 2.3.1.85 1.1.1.100 2.3.1.179 2.3.1.41 1.3.1.9 2.3.1.86 2.3.1.85 4.2.1.59 2.3.1.86 2.3.1.85 1.1.1.100 2.3.1.179 2.3.1.41 2.3.1.86 2.3.1.85 1.1.1.100 2.3.1.86 2.3.1.85 4.2.1.59 2.3.1.86 2.3.1.85 2.3.1.39 2.3.1.180 2.1.3.15
<i>trans</i>-4-hydroxy-L-proline degradation II	5.1.1.8 1.2.1.26 3.5.4.22 1.14.19.-
rose anthocyanin biosynthesis I (via cyanidin 5-<i>O</i>-&beta;-<i>D</i>-glucoside)	2.4.1.- 2.4.1.-
6'-deoxychalcone metabolism	1.14.14.- 2.4.1.- 2.4.1.-
2-hydroxypenta-2,4-dienoate degradation	1.2.1.10 4.1.3.39 4.2.1.80
<I>p</I>-cumate degradation to 2-hydroxypentadienoate	1.14.12.25 3.7.1.- 4.1.1.M8 1.13.11.M5 1.3.1.58
4-toluenesulfonate degradation II	1.14.12.-
ferulate and sinapate biosynthesis	1.14.14.- 1.2.1.- 2.1.1.68 1.2.1.68
cyanuric acid degradation II	3.5.1.84 3.5.2.15
melamine degradation	3.5.4.45 3.5.4.45
<i>N</i>-cyclopropylmelamine degradation	
acetyl-CoA biosynthesis III (from citrate)	2.3.3.8
superpathway of acetyl-CoA biosynthesis	1.8.1.4 2.3.1.12 1.2.4.1 2.3.3.8
capsanthin and capsorubin biosynthesis	5.3.99.8 5.3.99.8
lactucaxanthin biosynthesis	5.5.1.18 1.14.99.- 1.14.99.-
coumarin biosynthesis (via 2-coumarate)	3.2.1.21 1.14.13.14 2.4.1.114 5.2.1.-
glutaryl-CoA degradation	4.2.1.150 2.3.1.16 2.3.1.9 1.1.1.35
toluene degradation IV (aerobic) (via catechol)	1.2.1.10 4.1.1.77 4.1.3.39 4.2.1.80 5.3.2.6 1.2.1.85 1.14.15.26 1.1.1.90 1.2.1.28 1.3.1.25 1.14.12.10 1.13.11.2 3.7.1.9
toluene degradation V (aerobic) (<I>via</I> toluene-<I>cis</I>-diol)	1.2.1.10 1.13.11.2 4.1.3.39 4.2.1.80 3.7.1.o 1.14.12.11 1.3.1.19
toluene degradation I (aerobic) (<I>via</I> <i>o</I>-cresol)	4.2.1.80 4.1.3.39 1.2.1.10 1.13.11.2 3.7.1.o 1.14.13.et 1.14.13.et
toluene degradation III (aerobic) (via <i>p</i>-cresol)	1.14.13.236 2.3.1.174 2.8.3.6 3.1.1.24 4.1.1.44 5.5.1.2 1.13.11.3 1.14.13.2 1.2.1.96
toluene degradation II (aerobic) (via 4-methylcatechol)	1.2.1.10 4.2.1.80 1.14.13.236 4.1.3.39 3.7.1.o 1.14.13.236 1.13.11.2
superpathway of aerobic toluene degradation	5.3.2.6 1.2.1.96 1.13.11.2 4.1.1.77 1.3.1.25 2.3.1.174 2.8.3.6 3.1.1.24 4.1.1.44 5.5.1.2 1.13.11.3 1.14.13.2 1.2.1.10 4.1.3.39 4.2.1.80 1.2.1.85 3.7.1.9 1.13.11.2 1.14.13.236 3.7.1.o 1.13.11.2 1.14.13.236 1.14.12.10 1.14.12.11 1.2.1.28 1.3.1.19 1.14.13.et 1.14.13.et 1.14.15.26 1.1.1.90
toluene degradation VI (anaerobic)	4.2.1.150 2.3.1.16 2.3.1.9 1.1.1.35 4.2.1.- 1.3.8.3 2.8.3.15 4.1.99.11 1.1.1.- 2.3.1.M17 1.3.7.8 1.1.1.368 1.1.1.259 2.3.1.- 4.2.1.100
tetrapyrrole biosynthesis I (from glutamate)	6.1.1.17 4.2.1.75 2.5.1.61 4.2.1.24 5.4.3.8 1.2.1.70
tetrapyrrole biosynthesis II (from glycine)	4.2.1.75 2.3.1.37 2.5.1.61 4.2.1.24
siroheme biosynthesis	1.3.1.76 4.99.1.4
artemisinin biosynthesis	4.2.3.24 1.3.1.92
factor 430 biosynthesis	4.99.1.11 6.3.5.12 1.3.1.76 6.4.1.9 6.3.3.7
lactate biosynthesis (archaea)	4.1.2.17 1.2.1.22 1.1.98.5 4.2.3.-
factor 420 biosynthesis	2.7.8.28 1.5.98.1 2.5.1.147 4.3.1.32 2.7.7.68
factor 420 polyglutamylation	6.3.2.34 6.3.2.31
soybean saponin I biosynthesis	5.4.99.39 1.14.14.134 1.14.14.M31 1.14.14.M31 1.14.14.134 2.4.1.262 2.4.1.272 2.4.1.273
coenzyme B/coenzyme M regeneration I (methanophenazine-dependent)	1.12.98.1 1.8.98.1 1.5.98.3 1.12.98.3
methyl-coenzyme M oxidation to CO<sub>2</sub>	2.1.1.- 1.2.7.12 2.3.1.- 3.5.4.- 1.5.99.- 1.5.98.-
methanogenesis from methylamine	2.1.1.248 2.1.1.247
methanogenesis from dimethylamine	2.1.1.249 2.1.1.247
methanogenesis from trimethylamine	2.1.1.247 2.1.1.250
methanofuran biosynthesis	4.1.1.25 2.5.1.131 6.3.4.24 4.2.3.153 2.7.4.31 2.6.1.108
superpathway of pentose and pentitol degradation	4.1.2.28 2.3.3.9 1.1.1.26 1.2.99.- 4.1.2.18 1.2.1.21 2.7.1.47 5.3.1.3 2.7.1.17 5.3.1.5 1.1.1.56 1.1.1.11 1.1.1.9 5.1.3.- 2.7.1.53 5.1.3.22 5.1.3.4 5.3.1.4 2.7.1.16 1.1.1.21 1.1.1.12 1.1.1.10 3.1.1.15 4.2.1.25 4.2.1.43 1.1.1.376 1.2.1.- 1.1.1.21 1.1.1.- 3.1.1.30 4.2.1.5 4.2.1.141 1.2.1.26 3.1.1.ab 4.2.1.82 1.1.1.179 1.1.1.359
methanogenesis from dimethylsulfide	2.1.1.251 2.1.1.251
methanogenesis from methanethiol	2.1.1.251 2.1.1.251
methanogenesis from methylthiopropanoate	2.1.1.251 2.1.1.251
methanogenesis from tetramethylammonium	2.1.1.253 2.1.1.252
peptidoglycan biosynthesis II (staphylococci)	2.4.1.227 2.4.1.129 3.4.16.4 2.4.1.129 2.3.2.18 2.3.2.17 2.3.2.16 6.3.5.c 2.5.1.7 2.7.8.13 6.3.2.10 6.3.2.7 6.3.2.9 6.3.2.8 1.3.1.98 5.1.1.3 6.3.2.4
<I>p</I>-cymene degradation	1.2.1.10 1.14.15.25 4.1.3.39 4.2.1.80 3.7.1.- 4.1.1.M8 1.13.11.M5 1.3.1.58 1.14.12.25 1.2.1.29 1.1.1.M33
glucosinolate activation	3.2.1.147 4.99.1.M4 3.2.1.147 4.99.1.M5 3.2.1.147
salvianin biosynthesis	2.3.1.- 2.3.1.214 2.3.1.172 2.4.1.- 2.4.1.- 2.3.1.-
cardiolipin biosynthesis II	2.7.8.5 2.7.8.41 3.1.3.27
morphine biosynthesis	1.1.1.248 2.3.1.150 1.14.11.32 1.1.1.247 1.1.1.218 1.14.11.31 1.14.11.32 1.14.11.31 4.2.99.d 1.5.1.27 1.14.19.67 1.14.19.54
abscisic acid degradation to phaseic acid	1.14.14.eo 1.1.1.-
abscisic acid degradation by glucosylation	3.2.1.175 2.4.1.263
<i>p</i>-cumate degradation	1.2.1.10 1.14.12.25 4.1.3.39 4.2.1.80 3.7.1.- 4.1.1.M8 1.13.11.M5 1.3.1.58
sulfide oxidation II (sulfide dehydrogenase)	1.8.2.3
sulfite oxidation I	1.8.2.1
thiosulfate disproportionation I (thiol-dependent)	2.8.1.3
sulfite oxidation III	2.7.7.4 1.8.99.2
sulfite oxidation II	1.8.99.2 2.7.7.5
L-lysine degradation IV	3.5.1.30 2.8.3.13 1.2.1.- 2.6.1.48 1.13.12.2
L-lysine degradation V	5.1.1.5 2.8.3.13 2.6.1.39 1.5.3.7 1.5.1.1 1.4.3.3
shisonin biosynthesis	2.3.1.215 2.3.1.172 2.4.1.- 2.4.1.298 2.3.1.-
sulfide oxidation III (persulfide dioxygenase)	
anthocyanidin sophoroside metabolism	2.4.1.- 2.4.1.- 2.4.1.-
sanguinarine and macarpine biosynthesis	1.5.3.12 1.5.3.12 2.1.1.120 1.14.14.101 1.3.1.107 1.5.3.12 2.1.1.119 1.14.14.100 1.3.1.107 2.1.1.- 1.14.14.98 1.14.14.- 1.14.19.73 1.21.3.3 1.14.19.65 1.14.19.64
astaxanthin biosynthesis (bacteria, fungi, algae)	1.14.99.64 1.14.99.64 1.14.15.24 1.14.99.63 1.14.99.63 1.14.99.63
secologanin and strictosidine biosynthesis	4.3.3.2 3.1.7.11 1.14.19.62 2.1.1.50 1.14.14.85 2.4.1.323 1.3.1.99 1.14.14.83 4.1.1.105
canthaxanthin biosynthesis	
vindoline, vindorosine and vinblastine biosynthesis	1.14.11.20 2.3.1.107 3.2.1.105 1.11.1.- 2.1.1.99 1.1.99.41 2.3.1.107 1.14.11.20 2.1.1.99 1.1.99.41 1.14.14.50 2.1.1.94 1.14.14.103 1.14.14.50 1.3.1.M18 1.21.3.M1 2.3.1.M59 1.14.19.M23 1.3.1.36
superpathway of sulfide oxidation (<i>Acidithiobacillus ferrooxidans</i>)	1.8.2.1 1.8.5.4
ternatin C5 biosynthesis	2.3.1.171
thiosulfate oxidation III (multienzyme complex)	2.8.5.2 3.1.6.20 1.8.2.6 3.1.6.20 2.8.5.2
siroheme amide biosynthesis	6.3.5.M1 4.99.1.M1
L-lysine degradation VI	2.6.1.36
ajmaline and sarpagine biosynthesis	1.1.1.273 1.14.14.136 3.1.1.80 2.1.1.M48 1.5.1.- 1.3.1.M19 1.1.1.317 1.14.14.104 3.1.1.80 2.1.1.- 1.3.1.73 1.5.1.32 2.4.1.219 1.14.14.104 2.3.1.160 3.1.1.78 1.14.19.M24 1.3.1.36 3.2.1.105
sulfur disproportionation II (aerobic)	1.13.11.55
thiosulfate oxidation II (via tetrathionate)	1.8.5.2 2.8.1.- 2.8.1.-
superpathway of sulfur oxidation (<i>Acidianus ambivalens</i>)	1.13.11.55 1.8.2.1 2.7.7.5 1.8.99.2 1.8.5.2 2.8.1.- 2.8.1.-
bixin biosynthesis	2.1.1.- 1.13.12.- 2.1.1.- 1.2.1.-
superpathway of thiosulfate metabolism (<i>Desulfovibrio sulfodismutans</i>)	1.8.99.5 2.8.1.3 1.8.5.M1 2.7.7.4 1.8.99.2
gentiodelphin biosynthesis	2.3.1.153 2.3.1.- 2.4.1.298 2.4.1.298 2.4.1.238 2.3.1.-
superpathway of sulfur metabolism (<i>Desulfocapsa sulfoexigens</i>)	2.7.7.4 1.8.2.1 1.8.99.2 2.8.1.3
superpathway of anthocyanin biosynthesis (from delphinidin 3-<i>O</i>-glucoside)	2.4.1.298 2.3.1.- 2.4.1.- 2.3.1.171 2.4.1.298 2.4.1.238 2.3.1.- 2.3.1.153
L-lysine degradation VII	1.4.3.14
superpathway of anthocyanin biosynthesis (from pelargonidin 3-O-glucoside)	2.4.1.- 2.4.1.- 2.3.1.- 2.3.1.- 2.4.1.- 2.3.1.172 2.3.1.214 2.4.1.- 2.3.1.171 2.4.1.116 2.3.1.-
superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-<i>O</i>-glucoside)	2.3.1.215 2.3.1.172 2.4.1.- 2.4.1.115 2.4.1.- 2.4.1.- 2.4.1.- 2.4.1.298 2.3.1.-
L-lysine degradation VIII	
N-methyl-&Delta;<sup>1</sup>-pyrrolinium cation biosynthesis	1.4.3.22 2.1.1.53
nicotine biosynthesis	1.14.14.- 1.1.1.- 2.4.2.19 3.2.2.- 2.5.1.72 1.4.3.16
hyoscyamine and scopolamine biosynthesis	1.1.1.206 1.14.20.13 1.14.11.11 2.3.1.185
calystegine biosynthesis	1.1.1.236
coumarin metabolism (to melilotic acid)	1.3.-.- 3.1.1.35
kaempferol glycoside biosynthesis (Arabidopsis)	2.4.1.91 2.4.1.- 2.4.1.- 2.4.1.- 2.4.1.237 2.4.1.- 2.4.1.- 2.4.1.- 2.4.1.- 2.4.1.239 2.4.1.-
quercetin glycoside biosynthesis (Arabidopsis)	2.4.1.237 2.4.1.- 2.4.1.- 2.4.1.- 2.4.1.- 2.4.1.239 2.4.1.- 2.4.1.- 2.4.1.- 2.4.1.- 2.4.1.- 2.4.1.91
L-lysine degradation IX	2.6.1.71
sulfite oxidation IV	1.8.3.1
superpathway of L-lysine degradation	2.7.2.15 2.7.2.1 1.3.8.1 4.1.1.18 2.3.1.8 2.3.1.16 2.3.1.9 2.8.3.9 2.6.1.71 1.4.3.14 2.6.1.36 5.1.1.5 1.4.3.3 1.5.1.1 1.5.3.7 2.6.1.39 2.8.3.13 1.13.12.2 3.5.1.30 1.2.1.- 2.6.1.48 1.5.1.8 1.5.1.9 1.2.1.M9 1.2.1.31 2.3.1.- 2.6.1.- 1.1.1.- 3.5.1.- 1.2.1.20 5.4.3.2 5.4.3.3 1.4.1.11 2.3.1.247 4.3.1.14
superpathway of L-methionine salvage and degradation	2.5.1.6 1.8.3.1 3.13.1.- 2.6.1.- 1.13.11.20 5.4.99.2 5.1.99.1 6.4.1.3 1.2.1.M8 3.5.99.10 4.2.1.22 3.3.1.1 2.1.1.- 2.1.1.5 2.1.1.13 2.1.1.10
L-cysteine degradation III	2.6.1.3 2.8.1.2
taurine biosynthesis I	1.13.11.20 4.1.1.29 1.8.1.3 4.1.1.29
sulfur reduction I	1.12.98.4
superpathway of sulfide oxidation (<i>Starkeya novella</i>)	1.8.2.1
carbon disulfide oxidation II (aerobic)	3.13.1.7 1.8.1.-
stachyose biosynthesis	2.4.1.123 2.4.1.67 2.4.1.82
galactosylcyclitol biosynthesis	2.4.1.- 2.4.1.- 2.4.1.- 2.4.1.-
chalcone 2'-<i>O</i>-glucoside biosynthesis	2.4.1.-
sulfate activation for sulfonation	2.7.7.4 2.7.1.25
ajugose biosynthesis I (galactinol-dependent)	2.4.1.- 2.4.1.-
ajugose biosynthesis II (galactinol-independent)	2.4.1.- 2.4.1.- 2.4.1.-
L-homocysteine biosynthesis	2.5.1.49 2.3.1.31
superpathway of L-methionine biosynthesis (by sulfhydrylation)	1.1.1.3 2.1.1.13 2.1.1.14 2.5.1.49 2.3.1.31 1.8.1.2 1.8.4.8 2.7.7.4 2.7.1.25 2.6.1.1 2.7.2.4 1.2.1.11
superpathway of L-methionine biosynthesis (transsulfuration)	2.1.1.13 2.6.1.1 3.5.99.10 2.7.2.4 1.2.1.11 1.1.1.3 2.3.1.46 2.1.1.14 2.5.1.48
kaempferol triglucoside biosynthesis	2.4.1.91 2.3.1.173 2.4.1.240 2.4.1.239
esculetin biosynthesis	1.14.11.-
thiosulfate disproportionation IV (rhodanese)	2.8.1.1
thiosulfate disproportionation II (cytochrome)	1.8.2.5
arachidonate biosynthesis I (6-desaturase, lower eukaryotes)	2.3.1.- 1.14.19.30 2.3.1.23 1.3.1.93 4.2.1.134 1.1.1.330 1.14.19.47 2.3.1.23
nitroethane degradation	1.7.3.1
tetrathionate reduction I (to thiosulfate)	1.21.99.M4
tetrathionate reductiuon II (to trithionate)	
superpathway of tetrathionate reduction (<i>Salmonella typhimurium</i>)	1.8.99.5 1.8.5.M1 1.8.5.5 1.21.99.M4
(5<i>Z</i>)-icosenoate biosynthesis	1.14.19.10
sapienate biosynthesis	1.14.19.26
chrysin biosynthesis	1.14.20.5
sulfur reduction II (via polysulfide)	1.12.98.4
linear furanocoumarin biosynthesis	1.14.14.141 1.14.14.66 2.5.1.139 2.1.1.69
palmitoleate biosynthesis II (plants and bacteria)	3.1.2.14 1.14.19.2
petroselinate biosynthesis	3.1.2.14 1.3.1.- 4.2.1.- 1.1.1.100 2.3.1.179 1.14.19.11
dimorphecolate biosynthesis	1.14.99.- 2.3.1.23 1.14.19.34
carbon tetrachloride degradation I	1.14.15.-
chrysophanol biosynthesis	
carbon tetrachloride degradation II	1.17.1.10 1.2.7.4
calendate biosynthesis	1.14.19.14
punicate biosynthesis	1.14.19.16
&alpha;-eleostearate biosynthesis	1.14.19.33
&alpha;-amyrin biosynthesis	5.4.99.40
B series fagopyritols biosynthesis	2.4.1.-
A series fagopyritols biosynthesis	2.4.1.-
pyridine nucleotide cycling (plants)	3.2.2.3 3.1.3.5 3.2.2.14 3.2.2.6 3.6.1.22 6.3.5.1 2.7.7.18 2.7.1.173 2.4.2.- 3.2.2.- 6.3.4.21 3.5.1.19
hydrogen oxidation II (aerobic, NAD)	1.12.1.2
sucrose degradation IV (sucrose phosphorylase)	5.3.1.9 5.4.2.2 2.4.1.7 2.7.1.4
methylglyoxal degradation I	3.1.2.6 1.1.5.12 4.4.1.5
N-glucosylnicotinate metabolism	2.4.1.196
3-methylthiopropanoate biosynthesis	1.13.11.53
rutin biosynthesis	1.14.20.6 2.4.1.159 2.4.1.91
syringetin biosynthesis	1.14.14.82 2.1.1.267 2.1.1.267 1.14.20.6
reductive TCA cycle II	1.1.1.- 1.1.1.37 1.2.7.1 6.4.1.7 1.2.7.3 6.2.1.5 1.3.5.4 4.2.1.2 4.1.3.34 6.2.1.18
raspberry ketone biosynthesis	2.3.1.212 1.3.1.-
betalamic acid biosynthesis	1.14.16.2 1.13.11.29
crocetin biosynthesis	4.2.99.- 2.4.1.- 1.2.-.-
crocetin esters biosynthesis	2.4.1.271 2.4.1.330 2.4.1.330 2.4.1.330 2.4.1.271 2.4.1.271
betacyanin biosynthesis	2.4.1.- 2.4.1.- 2.4.1.- 1.10.3.-
amaranthin biosynthesis	2.3.1.- 2.3.1.- 2.4.1.-
betaxanthin biosynthesis (via dopamine)	4.1.1.28
betaxanthin biosynthesis (via dopaxanthin)	1.14.17.- 1.10.3.-
superpathway of betalain biosynthesis	1.13.11.29 1.14.16.2 2.4.1.- 2.4.1.- 2.4.1.- 1.10.3.- 2.4.1.- 2.3.1.- 2.3.1.- 1.14.17.- 1.10.3.- 4.1.1.28 2.1.1.6 1.10.3.-
divinyl ether biosynthesis I	1.13.11.58 4.2.1.121 4.2.1.121 1.13.11.58
9-lipoxygenase and 9-allene oxide synthase pathway	1.13.11.58 4.2.1.92 4.2.1.92 3.3.2.- 1.13.11.58
9-lipoxygenase and 9-hydroperoxide lyase pathway	1.13.11.58 4.2.1.M17 4.2.1.M17 1.13.11.58
divinyl ether biosynthesis II	4.2.1.M18 1.13.11.12
traumatin and (<i>Z</i>)-3-hexen-1-yl acetate biosynthesis	2.3.1.195 1.1.1.2 1.13.11.12 4.2.1.M19 4.2.1.M17 4.2.1.M19 4.2.1.M17 1.13.11.12
abietic acid biosynthesis	1.2.1.74 5.5.1.12 4.2.3.18 1.14.14.144
levopimaric acid biosynthesis	4.2.3.32 5.5.1.12 1.14.13.-
neoabietic acid biosynthesis	1.14.13.- 5.5.1.12 4.2.3.132 1.14.13.- 1.14.13.-
palustric acid biosynthesis	4.2.3.- 1.14.13.- 1.14.13.- 1.14.13.- 5.5.1.12
catechol degradation I (<I>meta</I>-cleavage pathway)	1.2.1.10 1.13.11.2 3.7.1.9 4.2.1.80 4.1.3.39
superpathway of diterpene resin acids biosynthesis	1.14.13.- 4.2.3.44 1.14.14.- 1.14.13.- 5.5.1.12 4.2.3.18 1.14.14.144 1.2.1.74 4.2.3.132 1.14.13.- 1.14.13.- 1.14.13.- 4.2.3.- 1.14.13.- 1.14.13.- 1.14.13.- 4.2.3.32 1.14.13.-
catechol degradation III (ortho-cleavage pathway)	1.13.11.1 2.3.1.174 2.8.3.6 3.1.1.24 5.3.3.4 5.5.1.1
phenol degradation I (aerobic)	1.14.13.7
catechol degradation to 2-hydroxypentadienoate II	4.1.1.77 5.3.2.6 1.2.1.85 1.13.11.2
catechol degradation II (<I>meta</I>-cleavage pathway)	4.2.1.80 1.2.1.10 4.1.3.39 1.13.11.2 4.1.1.77 5.3.2.6 1.2.1.85
dehydroabietic acid biosynthesis	4.2.3.18 1.14.13.- 5.5.1.12
isopimaric acid biosynthesis	5.5.1.12 1.14.14.- 1.14.13.- 4.2.3.44
oleoresin monoterpene volatiles biosynthesis	4.2.3.16 4.2.3.117 4.2.3.120 4.2.3.119 4.2.3.15 4.2.3.52 4.2.3.107 4.2.3.105
superpathway of oleoresin turpentine biosynthesis	4.2.3.15 4.2.3.117 4.2.3.52 4.2.3.107 4.2.3.105 4.2.3.76 4.2.3.80 4.2.3.57 4.2.3.56 4.2.3.58 4.2.3.38 4.2.3.16 4.2.3.120 4.2.3.119
oleoresin sesquiterpene volatiles biosynthesis	4.2.3.57 4.2.3.80 4.2.3.56 4.2.3.58 4.2.3.38 4.2.3.76
betaxanthin biosynthesis	2.1.1.6 4.1.1.28
naphthalene degradation (aerobic)	1.2.1.65 5.99.1.4 4.1.2.45 1.14.12.12 1.3.1.29 1.13.11.56
1,3-dimethylbenzene degradation to 3-methylbenzoate	1.14.15.26 1.2.1.28 1.1.1.90
1,4-dimethylbenzene degradation to 4-methylbenzoate	1.2.1.28 1.1.1.90 1.14.15.26
<i>meta</i> cleavage pathway of aromatic compounds	1.2.1.10 4.1.1.77 4.1.3.39 4.2.1.80 5.3.2.6 1.2.1.85 1.3.1.25 1.14.12.10 1.13.11.2 3.7.1.9
aromatic compounds degradation via &beta;-ketoadipate	1.13.11.1 4.1.1.44 2.3.1.174 2.8.3.6 3.1.1.24 5.3.3.4 5.5.1.1 5.5.1.2 1.13.11.3
superpathway of lipoxygenase	4.2.1.M19 4.2.1.M17 1.1.1.2 2.3.1.195 4.2.1.M17 3.3.2.- 4.2.1.92 4.2.1.121 1.13.11.58 4.2.1.M17 4.2.1.92 4.2.1.121 1.13.11.58 4.2.1.M18 4.2.1.M19 4.2.1.M17 1.13.11.12 1.13.11.12
(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis I	1.14.14.59 1.14.13.- 4.2.3.49 4.2.3.48
L-threonine degradation IV	1.2.1.10 4.1.2.48 4.1.2.5
L-threonine degradation I	2.7.2.1 2.7.2.15 2.3.1.222 2.3.1.- 3.5.99.10
betacyanin biosynthesis (via dopamine)	1.10.3.-
S-methyl-L-methionine cycle	2.1.1.10 2.1.1.12
aminopropanol phosphate biosynthesis I	2.7.1.177 4.1.1.81
benzene degradation	1.14.12.3 1.3.1.19
acetone degradation I (to methylglyoxal)	4.1.1.4 1.14.14.1 1.1.1.80
methylglyoxal degradation III	1.1.1.-
methylglyoxal degradation VII	1.2.1.23
methylglyoxal degradation V	1.1.1.283 1.1.2.3 1.2.1.22
methylglyoxal degradation IV	1.2.1.22 1.1.1.283
betanidin degradation	1.11.1.7
methylglyoxal degradation II	1.2.1.49
superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	2.7.1.11 1.1.1.37 4.2.1.2 1.3.5.1 6.2.1.5 1.2.1.M9 1.1.1.286 1.1.1.41 2.3.3.16 2.3.3.1 1.8.1.4 2.3.1.12 1.2.4.1 2.7.1.40 4.2.1.11 5.4.2.12 2.7.2.3 1.2.1.12 1.2.1.9 5.3.1.1 4.1.2.13 2.7.1.90
matairesinol biosynthesis	1.23.1.1 1.23.1.2 1.23.1.3 1.23.1.4 1.10.3.2 1.11.1.7
gramine biosynthesis	
lupanine biosynthesis	2.3.1.93 4.1.1.18
sesamin biosynthesis	1.-.-.- 1.13.12.- 1.-.-.- 1.14.19.74 1.14.19.74 1.11.1.7 1.10.3.2
palmatine biosynthesis	2.1.1.89 2.1.1.118
bisbenzylisoquinoline alkaloid biosynthesis	1.14.19.- 1.14.19.66
hydroxycinnamic acid serotonin amides biosynthesis	2.3.1.M35 2.3.1.M35 4.1.1.105 2.3.1.M35 2.3.1.M35 1.14.14.-
hydroxycinnamic acid tyramine amides biosynthesis	2.3.1.110 2.3.1.110 2.3.1.110 2.3.1.110 4.1.1.25
pentagalloylglucose biosynthesis	2.3.1.- 2.3.1.143 2.3.1.- 2.3.1.- 2.4.1.136 2.3.1.90
cornusiin E biosynthesis	1.10.3.- 1.10.3.-
gallotannin biosynthesis	2.3.1.- 2.3.1.- 2.3.1.- 2.3.1.- 2.3.1.- 2.3.1.- 2.3.1.-
superpathway of hydrolyzable tannin biosynthesis	1.10.3.- 2.3.1.- 2.3.1.- 2.3.1.- 2.3.1.- 2.3.1.- 2.3.1.- 1.10.3.- 2.3.1.143 2.3.1.- 2.4.1.136 2.3.1.- 2.3.1.- 2.3.1.- 2.3.1.90
6-methoxypodophyllotoxin biosynthesis	2.1.1.- 1.-.-.- 1.14.20.8 1.14.14.-
pyruvate fermentation to ethanol I	2.3.1.54 1.1.1.1 1.2.1.10
pyruvate fermentation to (<i>S</i>)-lactate	1.1.1.27
pyruvate fermentation to acetate II	1.2.1.M10 2.3.1.8 2.7.2.15 2.7.2.1
pyruvate fermentation to acetate III	6.2.1.13 1.2.7.1
glycolysis II (from fructose 6-phosphate)	2.7.9.2 2.7.1.40 4.2.1.11 5.4.2.11 5.4.2.12 2.7.2.3 5.3.1.1 1.2.1.12 3.1.3.11 2.7.1.11 4.1.2.13
pyruvate fermentation to acetate IV	2.3.1.8 2.7.2.15 2.7.2.1 2.3.1.54
pyruvate fermentation to ethanol II	1.1.1.1 4.1.1.1
4-nitrophenol degradation I	1.13.11.66 1.2.1.61 1.3.1.32 1.6.5.6 1.14.13.167
4-nitrophenol degradation II	1.3.1.32 1.6.5.7 1.13.11.37 1.14.13.166 1.14.13.29
methyl parathion degradation	3.1.8.1
paraoxon degradation	3.1.8.1
diethylphosphate degradation	3.1.3.- 3.1.3.1
reductive monocarboxylic acid cycle	1.2.7.1 2.3.1.54
pyruvate fermentation to propanoate II (acrylate pathway)	1.3.1.95 2.8.3.1 4.2.1.54 2.8.3.1
purine nucleobases degradation II (anaerobic)	2.7.2.15 2.7.2.1 2.3.1.8 1.2.7.1 3.5.99.10 2.1.2.1 1.5.1.5 1.17.1.9 3.5.1.10 3.5.4.9 4.3.1.4 2.1.2.4 3.5.2.- 3.5.4.8 3.5.1.- 1.17.1.4 3.5.4.3
vitamin B<sub>6</sub> degradation	1.14.13.242 3.5.1.29 4.1.1.51 1.2.1.100 1.1.99.42 3.1.1.27 1.1.1.107 2.6.1.30 1.1.3.12
L-glutamate and L-glutamine biosynthesis	1.4.1.4 1.4.1.13 1.4.1.14 1.4.7.1 6.3.1.2 1.4.1.3
methanol oxidation to formaldehyde IV	1.11.1.6 1.11.1.21 1.1.3.13
adenosylcobalamin biosynthesis I (anaerobic)	4.2.1.24 3.1.3.73 2.7.8.26 2.7.7.62 6.3.1.10 6.3.5.10 6.3.5.11 5.4.99.60 2.1.1.289 2.1.1.196 1.3.1.106 2.1.1.195 3.7.1.12 2.1.1.271 2.1.1.151 4.99.1.3 1.3.1.76 4.2.1.75 2.5.1.61 5.4.3.8 1.2.1.70 6.1.1.17 2.7.1.177 4.1.1.81 2.7.1.26 2.4.2.21 1.13.11.79 1.5.1.39
adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I	2.7.8.26 3.1.3.73 2.4.2.21
UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis I	5.1.3.7
